City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kailua-kona,19.6406,-155.9956,24.98,87,100,0.45,US,1700475844
1,montepuez,-13.1256,38.9997,35.9,25,0,3.06,MZ,1700475846
2,boyolangu,-8.1181,111.8935,27.25,77,75,4.36,ID,1700475848
3,wailua homesteads,22.0669,-159.378,21.44,89,100,9.77,US,1700475850
4,port augusta,-32.5,137.7667,18.05,76,100,8.48,AU,1700475852
5,xiaoweizhai,26.1903,107.5125,15.31,70,0,1.42,CN,1700475854
6,saint charles,38.7667,-90.7335,10.85,55,100,2.57,US,1700475587
7,georgetown,5.4112,100.3354,29.97,70,20,3.6,MY,1700475858
8,saipan,15.1355,145.701,27.39,94,75,3.6,MP,1700475860
9,waitangi,-43.9535,-176.5597,11.57,86,100,2.24,NZ,1700475861
10,mount pearl,47.5166,-52.7813,0.41,89,20,3.09,CA,1700475862
11,hithadhoo,-0.6,73.0833,28.0,75,58,6.76,MV,1700475864
12,vega de alatorre,20.0333,-96.6333,22.89,80,1,4.57,MX,1700475866
13,bethel,41.3712,-73.414,1.78,68,0,0.45,US,1700475867
14,olonkinbyen,70.9221,-8.7187,1.32,95,100,4.18,SJ,1700475869
15,iqaluit,63.7506,-68.5145,-5.15,85,100,11.32,CA,1700475870
16,pisco,-13.7,-76.2167,19.03,88,100,2.57,PE,1700475854
17,papatowai,-46.5619,169.4708,9.3,90,11,2.55,NZ,1700475874
18,brookings,44.3114,-96.7984,7.32,84,100,4.63,US,1700475827
19,new norfolk,-42.7826,147.0587,15.72,91,100,1.17,AU,1700475877
20,port alfred,-33.5906,26.891,23.99,81,100,3.13,ZA,1700475878
21,port mathurin,-19.6833,63.4167,25.92,77,12,5.99,MU,1700475880
22,akhmet'a,42.0311,45.2075,8.29,65,100,3.88,GE,1700475883
23,cabo san lucas,22.8909,-109.9124,24.31,80,0,3.77,MX,1700475885
24,vila franca do campo,37.7167,-25.4333,16.23,99,48,5.42,PT,1700475639
25,chimbote,-9.0853,-78.5783,18.43,88,100,2.4,PE,1700475857
26,port lincoln,-34.7333,135.8667,14.55,80,63,6.51,AU,1700475890
27,atafu village,-8.5421,-172.5159,29.06,74,71,4.95,TK,1700475891
28,barceloneta,18.4505,-66.5385,27.81,90,100,2.85,PR,1700475893
29,arraial do cabo,-22.9661,-42.0278,22.92,88,100,3.09,BR,1700475848
30,hadibu,12.65,54.0333,28.37,69,9,4.23,YE,1700475895
31,la passe,45.5549,-0.8967,13.88,76,100,4.7,FR,1700475898
32,touros,-5.1989,-35.4608,27.17,73,100,4.71,BR,1700475828
33,albany,42.6001,-73.9662,-1.34,74,3,1.79,US,1700475901
34,auki,-8.7676,160.7034,26.05,88,62,2.17,SB,1700475903
35,isla mujeres,21.2311,-86.731,20.03,74,3,3.77,MX,1700475904
36,st. john's,47.5649,-52.7093,0.87,89,20,3.09,CA,1700475852
37,axim,4.8699,-2.2405,29.45,69,65,1.97,GH,1700475907
38,invercargill,-46.4,168.35,9.0,83,14,1.48,NZ,1700475909
39,yellowknife,62.456,-114.3525,-6.99,99,100,9.77,CA,1700475911
40,shevchenko,48.5,35.0,0.42,85,99,5.23,UA,1700475912
41,port-aux-francais,-49.35,70.2167,4.01,76,62,9.54,TF,1700475914
42,uturoa,-16.7333,-151.4333,25.84,85,100,3.41,PF,1700475915
43,bilibino,68.0546,166.4372,-19.37,98,100,3.54,RU,1700475917
44,nagqu,31.5,92.0,2.12,35,85,2.73,CN,1700475918
45,crane,31.3974,-102.3501,14.24,43,1,6.72,US,1700475920
46,oppdal,62.5943,9.6912,-7.78,59,10,2.2,NO,1700475921
47,grytviken,-54.2811,-36.5092,1.66,98,99,5.07,GS,1700475923
48,kodiak,57.79,-152.4072,0.73,51,100,4.12,US,1700475924
49,puerto natales,-51.7236,-72.4875,2.91,99,100,0.68,CL,1700475696
50,lock haven,41.137,-77.4469,0.39,97,10,1.0,US,1700475927
51,hawaiian paradise park,19.5933,-154.9731,20.02,89,0,2.57,US,1700475929
52,udachny,66.4167,112.4,-29.2,82,100,3.13,RU,1700475930
53,progreso,21.2833,-89.6667,22.06,91,1,4.33,MX,1700475933
54,puerto ayora,-0.7393,-90.3518,20.31,98,87,4.54,EC,1700475934
55,ushuaia,-54.8,-68.3,2.81,75,40,6.17,AR,1700475936
56,cidreira,-30.1811,-50.2056,18.09,78,22,2.66,BR,1700475937
57,tazacorte,28.629,-17.9293,22.54,64,0,1.03,ES,1700475939
58,tarawa,1.419,172.984,29.05,84,75,2.57,KI,1700475940
59,hermanus,-34.4187,19.2345,22.64,52,100,5.42,ZA,1700475915
60,lihue,21.9789,-159.3672,21.77,89,100,9.77,US,1700475943
61,ulsteinvik,62.3432,5.8487,2.64,69,22,1.34,NO,1700475944
62,tura,25.5198,90.2201,24.69,71,72,0.83,IN,1700475946
63,sitka,57.0531,-135.33,3.94,56,100,9.77,US,1700475947
64,punta arenas,-53.15,-70.9167,3.06,87,100,2.57,CL,1700475949
65,yanam,16.7333,82.2167,27.97,68,80,4.54,IN,1700475950
66,hamilton,39.1834,-84.5333,6.8,73,75,5.14,US,1700475952
67,nacala,-14.5428,40.6728,31.62,66,40,7.2,MZ,1700475953
68,gufeng,26.9083,118.9819,9.09,72,0,1.39,CN,1700475955
69,bairnsdale,-37.8333,147.6167,15.59,86,48,0.88,AU,1700475956
70,khovd,48.0056,91.6419,-1.8,52,9,1.97,MN,1700475958
71,kralendijk,12.15,-68.2667,26.99,89,20,2.06,BQ,1700475959
72,wake village,33.4268,-94.1063,14.06,61,100,6.17,US,1700475961
73,shalkar,47.8288,59.6258,3.85,59,100,9.18,KZ,1700475962
74,marquette,46.5333,-87.6335,-3.69,84,86,2.05,US,1700475963
75,college,64.8569,-147.8028,-10.03,84,100,0.0,US,1700475965
76,fort bragg,35.139,-79.006,4.9,84,0,0.0,US,1700475966
77,sao geraldo do araguaia,-6.4006,-48.555,25.47,83,44,0.96,BR,1700475968
78,blackmans bay,-43.0167,147.3167,15.07,80,100,1.63,AU,1700475969
79,talcahuano,-36.7167,-73.1167,12.82,100,75,2.57,CL,1700475971
80,praia da vitoria,38.7333,-27.0667,17.14,82,20,10.49,PT,1700475972
81,adamstown,-25.066,-130.1015,22.51,87,100,4.1,PN,1700475974
82,cepu,-7.1475,111.5906,30.95,59,86,2.97,ID,1700475975
83,kapit,2.0167,112.9333,25.99,91,98,0.71,MY,1700475977
84,san patricio,28.017,-97.5169,23.92,93,9,6.65,US,1700475979
85,murashi,59.3999,48.9615,-6.76,66,86,2.18,RU,1700475981
86,bredasdorp,-34.5322,20.0403,23.63,46,100,2.68,ZA,1700475982
87,kerikeri,-35.2268,173.9474,17.17,89,44,0.89,NZ,1700475984
88,enterprise,36.0252,-115.2419,10.3,28,0,10.8,US,1700475986
89,evinayong,1.4368,10.5512,25.65,69,99,0.96,GQ,1700475987
90,rawson,-43.3002,-65.1023,16.12,43,100,11.84,AR,1700475989
91,xam nua,20.4197,104.0439,18.02,74,4,1.09,LA,1700475991
92,malabar,-33.9667,151.25,22.85,67,98,4.14,AU,1700475992
93,ola,59.5833,151.2833,-14.77,73,58,5.27,RU,1700475994
94,placido de castro,-10.3353,-67.1856,24.4,80,67,1.14,BR,1700475995
95,jiaozuo,35.2397,113.2331,13.93,32,0,1.51,CN,1700475997
96,katsuura,35.1333,140.3,12.65,47,0,7.36,JP,1700475998
97,yeppoon,-23.1333,150.7333,24.88,82,31,5.61,AU,1700476000
98,princeville,45.7668,-61.2985,3.16,92,100,1.54,CA,1700476001
99,margaret river,-33.95,115.0667,18.74,67,6,9.19,AU,1700476003
100,edd,13.9297,41.6925,33.88,48,30,8.17,ER,1700476005
101,ribeira grande,38.5167,-28.7,16.22,82,75,7.15,PT,1700476006
102,tevriz,57.509,72.4042,-6.89,77,97,1.73,RU,1700476008
103,pimentel,-6.8367,-79.9342,20.16,83,100,1.54,PE,1700476009
104,edinburgh of the seven seas,-37.0676,-12.3116,12.66,71,95,4.02,SH,1700476011
105,tercan,39.7794,40.3925,1.93,96,100,2.34,TR,1700476012
106,la libertad,-2.2333,-80.9,22.38,86,100,3.24,EC,1700476014
107,ujae,8.9322,165.7642,28.36,77,13,8.84,MH,1700476015
108,anadyr,64.75,177.4833,0.28,100,100,14.0,RU,1700476017
109,sandnessjoen,66.0217,12.6316,-15.71,74,15,5.1,NO,1700476018
110,alofi,-19.0595,-169.9187,23.94,78,67,3.6,NU,1700476020
111,phan rang-thap cham,11.5667,108.9833,25.67,80,96,6.52,VN,1700476022
112,ust-nera,64.5667,143.2,-32.93,98,59,0.29,RU,1700476023
113,comandante fontana,-25.3345,-59.6821,20.82,79,58,2.25,AR,1700476025
114,arkhangel'sk,64.5401,40.5433,-4.93,92,100,2.78,RU,1700476027
115,kyabe,9.4515,18.9449,34.49,21,68,2.24,TD,1700476029
116,selfoss,63.9331,-20.9971,0.02,83,99,2.48,IS,1700476030
117,mudanjiang,44.5833,129.6,-4.22,89,6,2.24,CN,1700476032
118,longyearbyen,78.2186,15.6401,-2.09,69,40,6.17,SJ,1700476033
119,hacienda huancane,-15.8222,-70.8856,2.66,50,34,1.14,PE,1700476035
120,avarua,-21.2078,-159.775,23.03,78,40,4.12,CK,1700476037
121,ilulissat,69.2167,-51.1,-1.99,64,75,4.63,GL,1700476038
122,lae,-6.7221,146.9847,26.39,82,10,1.84,PG,1700476040
123,matthew town,20.95,-73.6667,26.14,67,31,4.3,BS,1700476041
124,utrik,11.2278,169.8474,27.86,78,6,9.4,MH,1700476043
125,nemuro,43.3236,145.575,5.2,76,35,12.05,JP,1700476045
126,talnakh,69.4865,88.3972,-31.0,99,99,1.81,RU,1700476046
127,kiknur,57.3034,47.2011,-4.91,53,100,4.07,RU,1700476048
128,vila velha,-20.3297,-40.2925,25.53,84,40,3.13,BR,1700475775
129,mugango,-1.6833,33.7,28.53,48,39,4.51,TZ,1700476052
130,chonchi,-42.6128,-73.8092,9.56,90,61,3.55,CL,1700476054
131,salalah,17.0151,54.0924,29.05,61,20,2.57,OM,1700476055
132,narrabri,-30.3167,149.7833,19.73,88,91,0.89,AU,1700476057
133,argo,37.6333,22.7333,17.66,27,0,0.83,GR,1700476059
134,yemva,62.59,50.8594,-7.28,92,98,2.38,RU,1700476061
135,mirny,62.5353,113.9611,-17.09,71,100,4.02,RU,1700476063
136,polyarnyy,69.1989,33.4478,-13.14,95,86,3.59,RU,1700476064
137,carnarvon,-24.8667,113.6333,25.1,70,0,6.01,AU,1700476066
138,qaqortoq,60.7167,-46.0333,1.17,95,100,12.04,GL,1700476068
139,darnah,32.767,22.6367,20.43,61,14,8.99,LY,1700476071
140,maych'ew,12.7875,39.5422,20.91,55,96,4.72,ET,1700476072
141,san pedro pochutla,15.7333,-96.4667,23.56,90,49,0.96,MX,1700476074
142,lebu,-37.6167,-73.65,12.44,90,100,2.77,CL,1700476075
143,darwin,-12.4611,130.8418,25.99,83,75,7.72,AU,1700475867
144,berdychiv,49.8993,28.6024,-0.33,58,100,1.88,UA,1700475796
145,taoudenni,22.6783,-3.9836,28.48,14,70,3.49,ML,1700476080
146,nosy varika,-20.5833,48.5333,27.24,62,61,4.57,MG,1700476082
147,tiksi,71.6872,128.8694,-27.66,100,100,1.94,RU,1700476083
148,gubkinskiy,64.434,76.5026,-23.05,97,86,4.44,RU,1700476085
149,lazaro cardenas,17.9583,-102.2,24.73,91,25,1.87,MX,1700476086
150,weno,7.4515,151.8468,28.97,84,75,1.54,FM,1700476088
151,vernon,50.2581,-119.2691,1.63,76,52,2.06,CA,1700476090
152,cunit,41.1983,1.6365,19.64,85,11,0.89,ES,1700476091
153,bermeo,43.4209,-2.7215,17.36,86,100,3.67,ES,1700476093
154,torbeyevo,54.0797,43.2473,-3.63,57,100,6.81,RU,1700476094
155,mil'kovo,55.6078,37.7956,-5.33,67,92,3.67,RU,1700476096
156,gorgan,36.8387,54.4348,26.98,44,75,0.0,IR,1700476097
157,noumea,-22.2763,166.4572,19.99,74,0,5.61,NC,1700476099
158,tralee,52.2704,-9.7026,10.14,93,75,6.17,IE,1700476100
159,nar'yan-mar,67.6713,53.087,-19.83,99,98,1.91,RU,1700476102
160,cicero dantas,-10.6,-38.3833,24.74,70,62,4.62,BR,1700476106
161,besisahar,28.2313,84.3761,23.13,57,2,2.12,NP,1700476107
162,maslyanino,54.3436,84.2111,-6.29,78,100,5.18,RU,1700476109
163,champerico,14.3,-91.9167,24.5,84,63,2.21,GT,1700476110
164,tadine,-21.55,167.8833,21.52,70,1,6.66,NC,1700476112
165,keflavik,64.0049,-22.5624,3.95,100,75,6.17,IS,1700476113
166,sinjai,-5.1241,120.253,27.83,76,15,3.17,ID,1700476115
167,white river,-25.3318,31.0117,33.49,40,0,1.54,ZA,1700476117
168,jiwani,25.05,61.7417,26.4,61,0,3.68,PK,1700475857
169,ghatal,22.6667,87.7167,29.81,39,55,2.84,IN,1700476120
170,colonia,50.9333,6.95,12.85,78,75,6.17,DE,1700475946
171,minas de marcona,-15.2119,-75.1103,13.24,90,62,3.03,PE,1700476123
172,west island,-12.1568,96.8225,26.99,69,88,6.17,CC,1700476124
173,pangody,65.85,74.4859,-23.11,99,89,3.68,RU,1700476013
174,renqiu,38.6989,116.0936,11.35,36,7,2.49,CN,1700476128
175,nova sintra,14.8667,-24.7167,22.61,69,98,5.31,CV,1700476129
176,ha'il,27.5219,41.6907,21.01,49,40,6.17,SA,1700476015
177,hotan,37.0997,79.9269,15.38,12,0,1.56,CN,1700476134
178,arar,30.9753,41.0381,20.01,40,75,12.35,SA,1700476137
179,antigo,45.1402,-89.1523,0.06,86,75,5.14,US,1700476042
180,beni saf,35.301,-1.3823,16.16,55,1,2.12,DZ,1700476140
181,vieux fort,13.7167,-60.95,27.62,78,75,8.23,LC,1700476141
182,sept-iles,50.2001,-66.3821,-3.0,73,100,4.12,CA,1700476082
183,mount isa,-20.7333,139.5,29.87,39,75,3.6,AU,1700476144
184,mgandu,-5.95,34.1333,30.05,33,98,5.47,TZ,1700476145
185,kapuskasing,49.4169,-82.4331,-13.95,85,0,0.0,CA,1700476147
186,thompson,55.7435,-97.8558,0.13,93,100,4.01,CA,1700476148
187,baruun-urt,46.6806,113.2792,-4.67,86,100,1.15,MN,1700476150
188,villa hernandarias,-31.231,-59.985,19.58,72,81,3.62,AR,1700476152
189,sidney,-33.8679,151.2073,22.62,68,96,1.79,AU,1700476153
190,kilindoni,-7.9139,39.6668,27.71,75,83,2.66,TZ,1700476155
191,severo-yeniseyskiy,60.3725,93.0408,-14.69,95,98,2.65,RU,1700476156
192,jamestown,42.097,-79.2353,-1.92,86,0,1.54,US,1700476043
193,isafjordur,66.0755,-23.124,2.02,87,75,2.06,IS,1700476159
194,iskateley,67.6803,53.1512,-20.19,100,98,1.95,RU,1700476161
195,huarmey,-10.0681,-78.1522,18.71,89,97,2.89,PE,1700476162
196,stanley,54.868,-1.6985,9.74,93,75,4.12,GB,1700476164
197,vorgashor,67.5833,63.95,-17.03,98,96,2.0,RU,1700476165
198,sansanne-mango,10.3592,0.4708,34.71,13,90,2.79,TG,1700476167
199,bikenibeu village,1.3673,173.1241,28.98,84,75,2.57,KI,1700476170
200,taperoa,-7.2075,-36.8267,23.94,68,90,3.62,BR,1700476171
201,balikpapan,-1.2675,116.8289,27.55,78,20,2.57,ID,1700476173
202,guerrero negro,27.9769,-114.0611,17.94,83,100,3.41,MX,1700476175
203,foshan,23.0268,113.1315,23.02,27,0,1.94,CN,1700476044
204,kalmunai,7.4167,81.8167,27.91,77,100,3.09,LK,1700476181
205,sungai penuh,-2.0833,101.3833,20.77,96,98,0.97,ID,1700476182
206,dellys,36.9172,3.9131,22.81,44,0,3.19,DZ,1700476184
207,tlahualilo de zaragoza,26.1167,-103.45,18.58,43,1,1.24,MX,1700476185
208,conception bay south,47.4999,-52.9981,0.74,89,25,4.42,CA,1700476187
209,kavieng,-2.5744,150.7967,28.21,79,73,4.77,PG,1700476188
210,shanhecun,44.7,127.2,-0.41,81,2,5.8,CN,1700476191
211,veraval,20.9,70.3667,30.16,45,12,3.82,IN,1700476193
212,nuriootpa,-34.4833,139.0,18.2,68,99,1.56,AU,1700476194
213,sakaiminato,35.55,133.2333,11.99,62,75,2.06,JP,1700476195
214,lospalos,-8.5186,127.0025,24.16,78,66,2.87,TL,1700476197
215,lorengau,-2.0226,147.2712,27.73,84,68,3.51,PG,1700476198
216,priozersk,61.0393,30.1291,-2.22,86,78,2.73,RU,1700476200
217,pudozh,61.8099,36.5345,-8.36,97,32,1.79,RU,1700476202
218,brigantine,39.4101,-74.3646,4.44,72,0,1.79,US,1700476204
219,coahuayana de hidalgo,18.7,-103.6583,24.22,95,63,0.94,MX,1700476206
220,male,4.1748,73.5089,31.97,70,20,3.09,MV,1700476019
221,geraldton,-28.7667,114.6,24.23,64,2,9.77,AU,1700476210
222,aykhal,66.0,111.5,-31.61,100,98,3.83,RU,1700476211
223,kualakapuas,-3.0091,114.3876,26.02,88,92,1.06,ID,1700476213
224,griffith,41.5284,-87.4237,7.96,60,0,4.12,US,1700476214
225,midvagur,62.0511,-7.1939,3.46,81,91,1.03,FO,1700476216
226,mananjary,-21.2167,48.3333,27.89,61,15,5.13,MG,1700476218
227,taboshar,40.5686,69.6413,13.18,40,1,1.38,TJ,1700476219
228,happy valley-goose bay,53.3168,-60.3315,-8.83,79,20,6.69,CA,1700476221
229,whitehorse,60.7161,-135.0538,-23.57,76,0,3.6,CA,1700475958
230,chui,-33.6971,-53.4616,17.86,71,0,3.06,UY,1700476225
231,aurad,18.25,77.4333,28.65,37,39,3.52,IN,1700476227
232,east ballina,-28.8667,153.5833,17.67,99,100,1.84,AU,1700476229
233,beyneu,45.3167,55.2,12.26,55,100,13.42,KZ,1700476231
234,pasni,25.2631,63.471,25.92,66,0,3.48,PK,1700476235
235,jerez de garcia salinas,22.65,-103.0,15.14,78,0,2.8,MX,1700476241
236,saint croix,17.7397,-64.7388,28.25,84,40,3.09,VI,1700476243
237,ancud,-41.8697,-73.8203,9.8,83,36,8.71,CL,1700476245
238,yuzhno-kurilsk,44.0306,145.8556,5.76,84,100,17.16,RU,1700476246
239,sao jose da coroa grande,-8.8978,-35.1478,27.67,70,27,5.16,BR,1700476248
240,kingscliff,-28.2667,153.5667,19.85,100,75,2.57,AU,1700476249
241,tolanaro,-25.0319,46.9987,31.04,70,20,10.8,MG,1700476251
242,vadso,70.0744,29.7487,-6.91,73,40,5.66,NO,1700476252
243,hammerfest,70.6634,23.6821,-0.75,74,75,3.09,NO,1700476095
244,callao,-12.0667,-77.15,19.84,82,100,0.51,PE,1700476255
245,faro,37.0194,-7.9322,18.88,77,0,2.57,PT,1700476258
246,sinan,34.8262,126.1086,8.06,55,0,5.24,KR,1700476260
247,huangnihe,43.5583,128.0239,-5.52,95,5,0.64,CN,1700476263
248,mpika,-11.8343,31.4529,32.66,23,88,4.85,ZM,1700476265
249,adrar,20.5022,-10.0711,28.59,11,100,4.94,MR,1700476267
250,birao,10.2849,22.7882,34.69,15,71,4.34,CF,1700476269
251,valparaiso,-33.0393,-71.6273,9.8,93,75,2.06,CL,1700476254
252,binghamton,42.0987,-75.918,-1.51,82,9,0.45,US,1700476038
253,pelabuhanratu,-6.9875,106.5514,27.33,81,83,1.93,ID,1700476274
254,newport,51.5877,-2.9984,12.12,86,22,5.43,GB,1700476277
255,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,98,0,8.0,RU,1700476278
256,aswan,24.0934,32.907,22.61,33,0,4.63,EG,1700476280
257,kingston,17.997,-76.7936,25.53,83,20,6.17,JM,1700476189
258,north platte,41.1239,-100.7654,8.4,85,100,4.63,US,1700476283
259,elliot lake,46.3834,-82.6331,-5.15,57,6,1.11,CA,1700476284
260,kavaratti,10.5669,72.642,28.91,68,32,1.86,IN,1700476286
261,brisas de zicatela,15.8369,-97.0419,25.58,86,55,1.56,MX,1700476288
262,yaren,-0.5472,166.916,28.55,75,27,2.07,NR,1700476289
263,east london,-33.0153,27.9116,24.57,74,100,8.43,ZA,1700476291
264,el hadjira,32.6134,5.5126,20.98,48,0,1.16,DZ,1700476293
265,dryden,49.7833,-92.7503,-0.84,86,0,4.63,CA,1700476294
266,snovsk,51.8239,31.9428,-0.4,66,99,4.97,UA,1700476296
267,darwha,20.3167,77.7667,29.64,36,8,3.31,IN,1700476297
268,the pas,53.8251,-101.2541,0.01,93,0,3.6,CA,1700476299
269,wotje,9.4543,170.2367,28.13,78,16,8.78,MH,1700476301
270,rabo de peixe,37.8,-25.5833,15.73,82,20,3.6,PT,1700476302
271,san antonio de pale,-1.4014,5.6325,24.31,94,100,4.0,GQ,1700476305
272,kapa'a,22.0752,-159.319,22.18,88,100,9.77,US,1700476306
273,badger,64.8,-147.5333,-10.07,79,100,0.0,US,1700476308
274,klyuchi,52.2667,79.1667,-5.41,67,17,3.3,RU,1700476309
275,hesla,24.0667,85.8833,25.21,46,1,2.32,IN,1700476311
276,kita,13.0349,-9.4895,34.03,13,100,4.43,ML,1700476312
277,yerofey pavlovich,53.9667,121.9667,-5.8,91,100,2.37,RU,1700476314
278,afaahiti,-17.75,-149.2833,23.93,92,100,9.59,PF,1700476315
279,mount gambier,-37.8333,140.7667,12.31,84,100,3.87,AU,1700476316
280,matoury,4.8483,-52.3317,24.98,100,75,1.03,GF,1700476318
281,watsa,3.0372,29.5355,23.1,88,89,1.29,CD,1700476320
282,goshainganj,26.5833,82.3833,26.75,35,0,2.66,IN,1700476321
283,pogradec,40.9025,20.6525,9.0,58,0,1.67,AL,1700476323
284,kijang,35.2442,129.2139,8.85,38,0,0.84,KR,1700476324
